table,register_name,bits,field_name,description,type,reset
Table 4-19: por_apb_node_info attributes,por_apb_node_info,[63:32],Reserved,Reserved,RO,-
Table 4-19: por_apb_node_info attributes,por_apb_node_info,[31:16],node_id,Component CHI node ID dependent,RO,Configuration dependent
Table 4-19: por_apb_node_info attributes,por_apb_node_info,[15:0],node_type,CMN-700 node type identifier 16'h1000,RO,-
Table 4-20: por_apb_child_info attributes,por_apb_child_info,[63:32],Reserved,Reserved,RO,-
Table 4-20: por_apb_child_info attributes,por_apb_child_info,[31:16],child_ptr_offset,Starting register offset which contains pointers to the child nodes 16'h0000,RO,-
Table 4-20: por_apb_child_info attributes,por_apb_child_info,[15:0],child_count,Number of child nodes; used in discovery process 16'b0,RO,-
Table 4-21: por_apb_only_access attributes,por_apb_only_access,[63:4],Reserved,Reserved,RO,-
Table 4-21: por_apb_only_access attributes,por_apb_only_access,[3],mxp_axu_apb_only,MXP AXI utility bus access by APB only 1'b0 MXP AXU accessible via CHI/AXI in addition to APB 1'b1 MXP AXU accessible only via APB 1'b0,RW,-
Table 4-21: por_apb_only_access attributes,por_apb_only_access,[2],dmc_apb_only,DMC AXI utility bus access by APB only 1'b0 DMC AXU accessible via CHI/AXI in addition to APB 1'b1 DMC AXU accessible only via APB 1'b0,RW,-
Table 4-21: por_apb_only_access attributes,por_apb_only_access,[1],dsu_apb_only,DSU AXI utility bus access by APB only 1'b0 DSU AXU accessible via CHI/AXI in addition to APB 1'b1 DSU AXU accessible only via APB 1'b0,RW,-
Table 4-21: por_apb_only_access attributes,por_apb_only_access,[0],cmn_apb_only,CMN config access by APB only 1'b0 CMN config accessible via CHI/AXI in addition to APB 1'b1 CMN config accessible only via APB 1'b0,RW,-
Table 4-22: por_axu_control attributes,por_axu_control,[63:1],Reserved,Reserved,RO,-
Table 4-22: por_axu_control attributes,por_axu_control,[0],dsu_apb_indicator,DSU AxADDRU[23] access indicator enable 1'b1 AxADDRU[23] will carry source indicator (0: from CHI / 1: from APB) 1'b0 AxADDRU[23] behaves as default 1'b0,RW,-
Table 4-23: por_ccg_ha_node_info attributes,por_ccg_ha_node_info,[63:48],Reserved,Reserved,RO,-
