table,register_name,bits,field_name,description,type,reset
Table 8-7: por_apb_node_info attributes,por_apb_node_info,[63:32],Reserved,Reserved ‑,RO,-
Table 8-7: por_apb_node_info attributes,por_apb_node_info,[31:16],node_id,Component CHI node ID,RO,0x00
Table 8-7: por_apb_node_info attributes,por_apb_node_info,[15:0],node_type,CMN node type identifier,RO,0x1000
Table 8-8: por_apb_child_info attributes,por_apb_child_info,[63:32],Reserved,Reserved ‑,RO,-
Table 8-8: por_apb_child_info attributes,por_apb_child_info,[31:16],child_ptr_offset,Starting register offset which contains pointers to the child nodes,RO,0x0000
Table 8-8: por_apb_child_info attributes,por_apb_child_info,[15:0],child_count,Number of child nodes; used in discovery process,RO,0b0
Table 8-9: por_apb_rcr attributes,por_apb_rcr,[63:1],Reserved,Reserved,RO,-
Table 8-9: por_apb_rcr attributes,por_apb_rcr,[0],apb,Allows access to root APB registers,RW,0b0
Table 8-10: por_apb_scr attributes,por_apb_scr,[63:1],Reserved,Reserved,RO,-
Table 8-10: por_apb_scr attributes,por_apb_scr,[0],apb,Allows access to secure APB registers,RW,0b0
Table 8-11: por_apb_only_access attributes,por_apb_only_access,[63:4],Reserved,Reserved,RO,-
Table 8-11: por_apb_only_access attributes,por_apb_only_access,[3],mxp_axu_apb_only,MXP AXI utility bus access by APB only 0b0 MXP AXU accessible via CHI/AXI in addition to APB 0b1 MXP AXU accessible only via APB,RW,0b0
Table 8-11: por_apb_only_access attributes,por_apb_only_access,[2],dmc_apb_only,DMC AXI utility bus access by APB only 0b0 DMC AXU accessible via CHI/AXI in addition to APB 0b1 DMC AXU accessible only via APB,RW,0b0
Table 8-11: por_apb_only_access attributes,por_apb_only_access,[1],dsu_apb_only,DSU AXI utility bus access by APB only 0b0 DSU AXU accessible via CHI/AXI in addition to APB 0b1 DSU AXU accessible only via APB,RW,0b0
Table 8-11: por_apb_only_access attributes,por_apb_only_access,[0],cmn_apb_only,CMN config access by APB only 0b0 CMN config accessible via CHI/AXI in addition to APB 0b1 CMN config accessible only via APB,RW,0b0
Table 8-12: por_axu_control attributes,por_axu_control,[63:2],Reserved,Reserved,RO,-
Table 8-12: por_axu_control attributes,por_axu_control,[1],dmc_apb_indicator,DMC AxPROT[0] access indicator enable 0b1 AxPROT[0] will carry source indicator 0 from CHI 1 from APB 0b0 AxPROT[0] behaves as default,RW,0b0
Table 8-12: por_axu_control attributes,por_axu_control,[0],dsu_apb_indicator,DSU AxPROT[0] access indicator enable 0b1 AxPROT[0] will carry source indicator 0 from CHI 1 from APB 0b0 AxPROT[0] behaves as default,RW,0b0
Table 8-14: por_ccg_ha_node_info attributes,por_ccg_ha_node_info,[63:48],Reserved,Reserved ‑,RO,-
Table 8-14: por_ccg_ha_node_info attributes,por_ccg_ha_node_info,[47:32],logical_id,Component logical ID,RO,0x00
Table 8-14: por_ccg_ha_node_info attributes,por_ccg_ha_node_info,[31:16],node_id,Component CHI node ID,RO,0x00
Table 8-14: por_ccg_ha_node_info attributes,por_ccg_ha_node_info,[15:0],node_type,CMN node type identifier,RO,0x0104
Table 8-15: por_ccg_ha_id attributes,por_ccg_ha_id,[63:10],Reserved,Reserved,RO,-
Table 8-15: por_ccg_ha_id attributes,por_ccg_ha_id,[9:0],ccix_haid,CCIX HAID,RW,0x0
