table,offset,name,type,description
Table 8-6: por_apb_cfg register summary,0x0,por_apb_node_info,RO,por_apb_node_info
Table 8-6: por_apb_cfg register summary,0x80,por_apb_child_info,RO,por_apb_child_info
Table 8-6: por_apb_cfg register summary,0x990,por_apb_rcr,RW,por_apb_rcr
Table 8-6: por_apb_cfg register summary,0x998,por_apb_scr,RW,por_apb_scr
Table 8-6: por_apb_cfg register summary,0x980,por_apb_only_access,RW,por_apb_only_access
Table 8-6: por_apb_cfg register summary,0x988,por_axu_control,RW,por_axu_control
Table 8-13: por_ccg_ha_cfg register summary,0x0,por_ccg_ha_node_info,RO,por_ccg_ha_node_info
Table 8-13: por_ccg_ha_cfg register summary,0x8,por_ccg_ha_id,RW,por_ccg_ha_id
Table 8-13: por_ccg_ha_cfg register summary,0x80,por_ccg_ha_child_info,RO,por_ccg_ha_child_info
Table 8-13: por_ccg_ha_cfg register summary,0xA00,por_ccg_ha_cfg_ctl,RW,por_ccg_ha_cfg_ctl
Table 8-13: por_ccg_ha_cfg register summary,0xA08,por_ccg_ha_aux_ctl,RW,por_ccg_ha_aux_ctl
Table 8-13: por_ccg_ha_cfg register summary,0xA10,por_ccg_ha_mpam_control_link0,RW,por_ccg_ha_mpam_control_link0
Table 8-13: por_ccg_ha_cfg register summary,0xA18,por_ccg_ha_mpam_control_link1,RW,por_ccg_ha_mpam_control_link1
Table 8-13: por_ccg_ha_cfg register summary,0xA20,por_ccg_ha_mpam_control_link2,RW,por_ccg_ha_mpam_control_link2
Table 8-13: por_ccg_ha_cfg register summary,0xA50 : 0xA60,por_ccg_ha_link0-2_cache_id_ctl,RW,por_ccg_ha_link0-2_cache_id_ctl
Table 8-13: por_ccg_ha_cfg register summary,0x980,por_ccg_ha_scr,RW,por_ccg_ha_scr
Table 8-13: por_ccg_ha_cfg register summary,0x988,por_ccg_ha_rcr,RW,por_ccg_ha_rcr
Table 8-13: por_ccg_ha_cfg register summary,0x900,por_ccg_ha_unit_info,RO,por_ccg_ha_unit_info
Table 8-13: por_ccg_ha_cfg register summary,0x908,por_ccg_ha_unit_info2,RO,por_ccg_ha_unit_info2
Table 8-13: por_ccg_ha_cfg register summary,0x910,por_ccg_ha_unit_info3,RO,por_ccg_ha_unit_info3
Table 8-13: por_ccg_ha_cfg register summary,0x1C00,por_ccg_ha_agentid_to_linkid_reg0,RW,por_ccg_ha_agentid_to_linkid_reg0
Table 8-13: por_ccg_ha_cfg register summary,0x1CF8,por_ccg_ha_agentid_to_linkid_val,RW,por_ccg_ha_agentid_to_linkid_val
Table 8-13: por_ccg_ha_cfg register summary,0xC00 : 0xCF8,por_ccg_ha_rnf_exp_raid_to_ldid_reg_0-31,RW,por_ccg_ha_rnf_exp_raid_to_ldid_reg_0-31
Table 8-13: por_ccg_ha_cfg register summary,0xD00 : 0xDF8,por_ccg_ha_link1_rnf_exp_raid_to_ldid_reg_0-31,RW,por_ccg_ha_link1_rnf_exp_raid_to_ldid_reg_0-31
Table 8-13: por_ccg_ha_cfg register summary,0xE00 : 0xEF8,por_ccg_ha_link2_rnf_exp_raid_to_ldid_reg_0-31,RW,por_ccg_ha_link2_rnf_exp_raid_to_ldid_reg_0-31
Table 8-13: por_ccg_ha_cfg register summary,0xD900,por_ccg_ha_pmu_event_sel,RW,por_ccg_ha_pmu_event_sel
Table 8-13: por_ccg_ha_cfg register summary,0x1900,por_ccg_ha_cxprtcl_link0_ctl,RW,por_ccg_ha_cxprtcl_link0_ctl
Table 8-13: por_ccg_ha_cfg register summary,0x1908,por_ccg_ha_cxprtcl_link0_status,RO,por_ccg_ha_cxprtcl_link0_status
Table 8-13: por_ccg_ha_cfg register summary,0x1910,por_ccg_ha_cxprtcl_link1_ctl,RW,por_ccg_ha_cxprtcl_link1_ctl
Table 8-13: por_ccg_ha_cfg register summary,0x1918,por_ccg_ha_cxprtcl_link1_status,RO,por_ccg_ha_cxprtcl_link1_status
Table 8-13: por_ccg_ha_cfg register summary,0x1920,por_ccg_ha_cxprtcl_link2_ctl,RW,por_ccg_ha_cxprtcl_link2_ctl
Table 8-13: por_ccg_ha_cfg register summary,0x1928,por_ccg_ha_cxprtcl_link2_status,RO,por_ccg_ha_cxprtcl_link2_status
Table 8-13: por_ccg_ha_cfg register summary,0xA30,por_ccg_ha_datasource_ctl_link0,RW,por_ccg_ha_datasource_ctl_link0
Table 8-13: por_ccg_ha_cfg register summary,0xA38,por_ccg_ha_datasource_ctl_link1,RW,por_ccg_ha_datasource_ctl_link1
Table 8-13: por_ccg_ha_cfg register summary,0xA40,por_ccg_ha_datasource_ctl_link2,RW,por_ccg_ha_datasource_ctl_link2
Table 8-43: por_ccg_ra_cfg register summary,0x0,por_ccg_ra_node_info,RO,por_ccg_ra_node_info
Table 8-43: por_ccg_ra_cfg register summary,0x80,por_ccg_ra_child_info,RO,por_ccg_ra_child_info
Table 8-43: por_ccg_ra_cfg register summary,0x980,por_ccg_ra_scr,RW,por_ccg_ra_scr
Table 8-43: por_ccg_ra_cfg register summary,0x988,por_ccg_ra_rcr,RW,por_ccg_ra_rcr
Table 8-43: por_ccg_ra_cfg register summary,0x900,por_ccg_ra_unit_info,RO,por_ccg_ra_unit_info
Table 8-43: por_ccg_ra_cfg register summary,0x908,por_ccg_ra_unit_info_1,RO,por_ccg_ra_unit_info_1
Table 8-43: por_ccg_ra_cfg register summary,0xA00,por_ccg_ra_cfg_ctl,RW,por_ccg_ra_cfg_ctl
Table 8-43: por_ccg_ra_cfg register summary,0xA08,por_ccg_ra_aux_ctl,RW,por_ccg_ra_aux_ctl
Table 8-43: por_ccg_ra_cfg register summary,0xA10,por_ccg_ra_aux_ctl2,RW,por_ccg_ra_aux_ctl2
Table 8-43: por_ccg_ra_cfg register summary,0xA18,por_ccg_ra_cbusy_limit_ctl,RW,por_ccg_ra_cbusy_limit_ctl
Table 8-43: por_ccg_ra_cfg register summary,0xC00 : 0xC38,por_ccg_ra_sam_addr_region_reg0-7,RW,por_ccg_ra_sam_addr_region_reg0-7
Table 8-43: por_ccg_ra_cfg register summary,0xD00,por_ccg_ra_agentid_to_linkid_val,RW,por_ccg_ra_agentid_to_linkid_val
Table 8-43: por_ccg_ra_cfg register summary,0xD10 : 0xD10,por_ccg_ra_agentid_to_linkid_reg0-0,RW,por_ccg_ra_agentid_to_linkid_reg0-0
